NCTId,type,name,description,arm_group_labels,other_names
NCT03197350,Diagnostic Test,cMR,cardiac MRI done to complete the diagnosis,"Controls, HFpEF, HFrEF",
NCT03197350,Biological,biomarker,Biomarker correlation with cMR parameters Prognostic information,"Controls, HFpEF, HFrEF",
NCT05204238,Diagnostic Test,Transthoracic Echocardiography,"LV dimensions, LV mass and indices of LV function LA area and volume Indices of diastolic function (E/A ratio, E/e' ratio) Heart valve assessment according to GL RV dimensions and indices of RV function PAPs (RV-RA gradient and vena cava dimensions and collapsibility) B-lines at lung ultrasounds (comet lung score) Speckle Tracking analysis of LV (GLS), LA (PALS) and RV (LS of free wall) Optional 3D analysis of left and right ventricle",,
NCT06862908,Other,placebo,"placebo administered subcutaneously(SC), once a week",placebo,
NCT06862908,Drug,IBI362,"IBI362 administered subcutaneously(SC), once a week","IBI362 4.0mg, IBI362 6.0mg",
NCT03966755,Behavioral,UFA dietary recommendations,"The face-to-face intervention will be performed by a research nutritionist that reviews the dietary recall and provides a list of commonly available foods rich in unsaturated fatty acids (UFA) (monounsaturated fatty acids (MUFA) and polyunsaturated fatty acids (PUFA)), together with individual instructions on how to integrate the recommended foods in the daily dietary pattern based on the dietary recall, and also to emphasize that the recommended food should be consumed as listed, and not as part of processed food (i.e., guacamole for avocado, hazelnut chocolate for nuts, pesto for olive oil, fish sticks for fatty fish). Extra-virgin olive oil or canola oil or nuts will be considered first choice for daily consumption of UFA-rich food, but a list of daily food substitutes will be also provided .",UFA dietary recommendations,
NCT04721314,Device,Adjustment of lower rate limit,Patients with preserved ejection fraction (EF \>50%) and implanted pacemakers will have the lower rate limit adjusted to a personalized heart rate based on a heart rate algorithm.,"Lower rate set to a higher, personalized backup heart rate (myPACE)",
NCT04721314,Device,Maintenance of lower rate limit,Lower rate limit will be maintained at 60 beats-per-minute,Lower rate left at 60 beats-per-minute,
NCT06057623,Other,Evaluation of central and peripheral neuromuscular fatigue,"To define peripheral and central component of fatigue, the investigators will test, before, during and after the fatigue task, the force produced during a Maximal Voluntary Contraction (MVC) and the force produced by the electrically evoked Resting Twitch (RT) produced, at rest, 5 seconds after the MVC.","Group 1, Group 2",
NCT06174623,Device,ModulHeart Support,The ModulHeart device will be implanted in the descending abdominal aorta.,ModulHeart System,
NCT06309550,Diagnostic Test,exercise test,exercise test,,
NCT05464238,Other,Exercise rehabilitation,"The initial phase of exercise training will be closely monitored and will be based on a three-weeks in-hospital stay to adjust and teach the exercise training which will be continued at home for 12 more weeks. In-hospital stays will be arranged country specific and hospitalization time may range. The rehabilitation program comprises of interval ergometer training (20 minutes 5 days per week), dumbbell training (30 minutes 5 days per week), respiratory therapy (30 minutes 5 days per week), mental training and guided walks for 2-5 times/week.",Exercise training,
NCT05464238,Other,Standard treatment,Standard treatment during study duration,Standard treatment (waiting group),
NCT01942395,Behavioral,DASH/sodium-restricted diet (DASH/SRD),"Baseline diet will be assessed via Block Food Frequency Questionnaire, and 24-hour urinary sodium, potassium, and 8-isoprostanes will be measured. Subjects will then be assigned to 21 days of the DASH/SRD, with all food and beverages provided. The target sodium content will be 1,500 mg/2,100 kcal, as per recent American Heart Association population recommendations for sodium intake. Adherence will be assessed through a three-day food diary at the midpoint of the intervention, and at the end of the 21 days urinary sodium, potassium, and 8-isoprostanes will again be measured.","Control Diet Intervention, DASH/Sodium-Restricted Diet Intervention","DASH diet, sodium-restricted diet, low sodium diet, DASH-sodium"
NCT01942395,Behavioral,Control Diet,"The Control Diet will be patterned on the information we collected using Food Frequency Questionnaires during our pilot study HUM00025253 (i.e., the dietary patterns reported by previously recruited hypertensive HFPEF patients). The target sodium content will be 3,500 mg per 2,100 kcal and target potassium content for the control diet will be 2,000 mg per 2,100 kcal.","Control Diet Intervention, DASH/Sodium-Restricted Diet Intervention",
NCT03909295,Drug,LCZ696,Starting dose was either 50 mg b.i.d. or 100 mg b.i.d. largely depending on the last dose level taken by the patient at the time of completing PARAGON-HF and patient condition. The dose level was gradually up-titrated with the goal of reaching the target dose of 200 mg b.i.d. as soon as tolerated by the patient,LCZ696,Sacubitril/valsartan
NCT05983250,Drug,TNX-103,oral levosimendan 1 mg,TNX-103,
NCT05983250,Drug,Placebo,Placebo,Placebo,
NCT02053246,Drug,Nebivolol,"Nebivolol will be started at 2.5 mg by mouth daily if on a beta-blocker the dose will start at 5mg, and titrated up to 10 mg daily, as tolerated.",Nebivolol,
NCT06731738,Drug,Gadoteric acid,A gadolinium-based contrast agent (authorised auxiliary medicinal product (AMP)) will be injected i.v. at a dose of 0.2 mmol Gd/kg bw and T1 mapping and ECV measurement will be done.,"HFpEF with CA, HFpEF with HCM, Healthy Volunteers",
NCT06731738,Drug,Mangafodipir trisodium injection,"Mangafodipir trisodium injection (IMP) will be administered i.v. at a dose of 5 μmol/kg bw and T1 mapping, Saturation Recovery T1 weighted imaging for measurement of the uptake rate, and T2 mapping, will be done.","HFpEF with CA, HFpEF with HCM, Healthy Volunteers",
NCT03289481,Dietary Supplement,Active lozenge,nitric oxide generating lozenge,"Active lozenge first, Placebo lozenge first",
NCT03289481,Drug,Placebo,placebo tablet,"Active lozenge first, Placebo lozenge first",
NCT05553314,Drug,Carvedilol,patients randomized to carvedilol group will receive carvedilol-SR.,Carvedilol-group,carvedilol slow-release (SR)
NCT05553314,Drug,Placebo,patients randomized to placebo group will receive placebo.,Placebo-group,
NCT04940312,Behavioral,App-based physical activity coaching,Individualized app-based coaching via a smartphone,Intervention Group 2 (app-based coaching),
NCT04940312,Behavioral,No Intervention: Observational Cohort,no Intervention,Usual Care Group,
NCT04940312,Behavioral,Intervention Group 1,pedometer-based tracking of physical activity,Intervention Group 1 (pedometer-monitoring only),
NCT05375110,Device,NoYATM Radiofrequency Interatrial Shunt System,NoYATM Radiofrequency Interatrial Shunt System include Adjustable Interatrial Shunt System and Radiofrequency Ablation Generator.,NoYATM Radiofrequency Interatrial Shunt System,
NCT05610410,Other,Laser speckle contrast analysis,Peripheral endothelial function assessment using Laser speckle contrast analysis and Peripheral reactive hyperemia assessment using EndoPAT,"Patients with HFpEF, Patients with angina and no obstructive coronary arteries",EndoPAT
NCT06946095,Drug,Chinese patent medicine,This study aims to investigate whether the addition of Xinyue Capsule to conventional Western medical therapy significantly improves cardiac function and reduces the level of heart failure biomarker NT-proBNP in patients with Heart Failure with Preserved Ejection Fraction (HFpEF).,Chinese patent medicine,
NCT01618981,Procedure,pace make active/inactive cross over,,"first active, first inactive",
NCT01157481,Drug,Conventional therapy plus nifedipine,Participants will receive 10 to 60 mg of sustained-release nifedipine once a day until December 2014,Conventional therapy plus nifedipine,
NCT01157481,Drug,Conventional therapy,Conventional therapy,Conventional therapy,
NCT07024810,Other,remote ischemic preconditioning,"Participants randomized to the PIR intervention group will receive a hand-held blood pressure device (Welch Allyn DuraShockTM DS45, NY, USA) to self-administer PIR. The cuff will be placed around the upper arm and inflated to 220 mmHg for 5 minutes, followed by 5 minutes of deflation, and this cycle will be repeated another three times. This process will be performed 5 days a week for 3 months. The arm on which participants will apply the PIR is the left arm. Participants will be supervised during their first PIR session and every 15 days to ensure that it is performed correctly and, they will be free to perform the PIR at any time during the day and will record it in a diary to monitor compliance. Participants will be instructed to follow their normal routine and refrain from engaging in any new physical activity or changing their eating habits.",remote ischemic preconditioning,
NCT06978868,Other,Sauna Intervention in Clinically Stable Outpatients with HFpEF,"Patients were accompanied by study physicians for two sessions weekly, each between 8-15 minutes. We started the first 2 weeks with 8 minutes. Week 3-4: 10 minutes, week 5-6: 12 minutes, week 7-10: 12-15 minutes. Patients were given the freedom to leave the sauna session at any time if they experienced discomfort or were unable to tolerate it. Sessions were done in groups of 5 patients of men or women. The temperature of the sauna was 60°C. After each session, patients were asked to shower with moderate temperature of water and then rest for 20 minutes. Blood pressure and heart rate were measured prior to each session as well as directly after the sauna session and at the end of the rest time.",Clinically stable outpatients with HFpEF,
NCT04287946,Device,Ablation,Ablation of a single-side of the greater splanchnic nerve,Ablation,
NCT03465072,Other,Exercise training,"8 weeks, 3 times per week, 30-40 minutes",Exercise training,
NCT03066804,Drug,sacubitril/valsartan,"Sacubitril/valsartan is available as 24 mg/26 mg, 49 mg/51 mg, 97 mg/103 mg, respectively in tablet form to be taken orally",sacubitril/valsartan (LCZ696),
NCT03066804,Drug,Enalapril,"Enalapril is available as 2.5 mg, 5 mg, and 10 mg tablet form to be taken orally",Comparator,
NCT03066804,Drug,Valsartan,"Valsartan is available as 40 mg, 80 mg, 160 mg tablet form to be taken orally",Comparator,
NCT03066804,Drug,Placebo to match sacubitril/valsartan,"Placebo to match LCZ696 50 mg, 100 mg, 200 mg tablet form to be taken orally",Comparator,
NCT03066804,Drug,Placebo to match enalapril,"Placebo to match enalapril 2.5 mg, 5 mg, 10 mg tablet form to be taken orally",sacubitril/valsartan (LCZ696),
